Name,Symptoms,Treatments,Disease_Code,Contagious,Chronic
Acute Pancreatitis,"Severe upper abdominal pain, nausea, vomiting, fever, rapid pulse, swollen and tender abdomen, jaundice","Hospitalization, intravenous fluids to restore hydration, pain management, bowel rest, nutritional support, medications to control pain and inflammation",D258,True,True
Gum Disease,"Swollen, red, tender gums, bleeding gums","Oral hygiene practices (brushing, flossing), professional dental cleanings, medications, surgical interventions",D259,False,True
Panic Attack,"Chest pain, shortness of breath, palpitations","Breathing exercises, relaxation techniques, therapy",D260,False,True
Lice,Itching and visible presence of lice or nits (eggs) in the hair,"Over-the-counter or prescription medications specifically designed to kill lice (such as pediculicides), manual removal of lice and nits using a fine-toothed comb, washing and drying of infested clothing and bedding at high temperatures, vacuuming of upholstery and household surfaces, disinfection of personal items that cannot be washed or dried, avoiding direct head-to-head contact with infested individuals, education and prevention strategies",D261,False,True
Pyloric stenosis,"Persistent hunger, Weight loss, Dehydration, Visible peristalsis, Palpable mass, Fussiness ","Ultrasound, Blood tests, Pyloromyotomy",D262,False,False
Pigmentary Glaucoma,"Blurred vision, halos around lights, eye pain","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)",D263,False,False
Abscess,"Swelling, pain, redness, fever, pus formation","Antibiotics, surgical drainage",D264,True,False
Myositis,"Muscle weakness, pain, inflammation","Medications (corticosteroids, immunosuppressants), physical therapy",D265,False,True
Von Willebrand Disease,"Easy or excessive bruising, prolonged or excessive bleeding from cuts or injuries, frequent nosebleeds, heavy or prolonged menstrual periods, bleeding gums, blood in urine or stool","Desmopressin (DDAVP) medication, replacement therapy with von Willebrand factor (VWF) concentrate or cryoprecipitate, oral contraceptives (for women with heavy menstrual bleeding), avoiding certain medications, dental care precautions, regular medical follow-up",D266,False,True
Gastroparesis,"Nausea, vomiting, early satiety, bloating, abdominal pain, poor appetite","Dietary modifications (small, frequent meals; low-fiber, low-fat diet), medication to promote gastric emptying, managing underlying cause if possible",D267,False,True
Chancroid,"Painful ulcers or sores on the genital area, swollen lymph nodes in the groin","Antibiotics (such as azithromycin or ceftriaxone), pain management, warm compresses, good hygiene",D268,False,False
Fungal Infection of the Skin,"Rash, itching, redness, peeling skin","Antifungal creams, powders, or oral medications, proper hygiene and skin care",D269,False,True
Stimulant Use Disorder,"Increased energy and alertness, euphoria, decreased appetite, increased heart rate and blood pressure, insomnia, restlessness, irritability, paranoia, psychosis (in severe cases)","Counseling or therapy (such as cognitive-behavioral therapy, motivational interviewing), support groups, medication (if applicable), addressing underlying psychological or social factors, lifestyle changes, addressing co-occurring mental health conditions, harm reduction strategies, ongoing monitoring and support",D270,False,True
Chronic Fatigue Syndrome,"Extreme fatigue, cognitive difficulties, unrefreshing sleep","Symptom management (such as medications to address pain, sleep disturbances, and other symptoms), graded exercise therapy, cognitive-behavioral therapy, sleep management techniques, pacing and energy conservation, stress reduction techniques, nutritional support, medications for specific symptoms",D271,True,True
Threatened Pregnancy,"Vaginal bleeding, abdominal cramps, pelvic pain","Bed rest, medications (progesterone), monitoring, avoiding activities that may stress the pregnancy",D272,False,True
Chronic Glaucoma,"Gradual vision loss, peripheral vision impairment, eye pain or discomfort, halos around lights","Eye drops (to reduce intraocular pressure), oral medications, laser therapy, surgery (trabeculectomy, implantable devices), regular eye exams",D273,False,True
Urticaria (Hives),"Raised, itchy welts on the skin","Antihistamines, avoiding triggers, corticosteroids (in severe cases)",D274,False,False
Vitreous Hemorrhage,"Floaters in vision, blurry vision, eye pain","Observation, laser treatment, vitrectomy (in severe cases)",D275,False,False
Binge Eating Disorder,Recurrent episodes of binge eating without compensatory behaviors,"Psychotherapy (such as cognitive-behavioral therapy or interpersonal therapy), nutritional counseling, medications (in some cases), support groups",D276,False,True
Hypercholesterolemia,"High levels of cholesterol in the blood, fatty deposits (xanthomas) on the skin or tendons, chest pain or angina, heart attacks, strokes","Lifestyle modifications (healthy diet, regular exercise, weight management, smoking cessation), medications to lower cholesterol levels (such as statins), regular monitoring of cholesterol levels, management of underlying conditions (such as diabetes or high blood pressure), potential additional treatments (such as bile acid sequestrants or PCSK9 inhibitors)",D277,False,True
Stress Incontinence,Unintentional urine leakage during physical activity,"Pelvic floor exercises, behavioral techniques, surgery (in severe cases)",D278,False,False
Labyrinthitis,"Vertigo, dizziness, nausea, hearing loss, ear pain","Medications (antibiotics, antivirals), vestibular rehabilitation therapy",D279,False,True
Dysthymic Disorder,"Persistent depressive symptoms (low mood, lack of interest, changes in sleep and appetite), lasting for at least two years","Psychotherapy (cognitive-behavioral therapy, interpersonal therapy), antidepressant medications",D280,False,True
Ethylene glycol poisoning-1,"Nausea, vomiting, abdominal pain, General malaise, weakness, Increased thirst, frequent urination","Supportive Measures, Gastric Decontamination, Antidote Administration, Hemodialysis",D281,False,False
Impulse Control Disorder,"Impulsive behaviors (e.g., gambling, stealing), difficulty resisting urges","Psychotherapy, medication (in some cases), support groups, behavioral interventions",D282,False,True
Intracranial Hemorrhage,"Severe headache, nausea or vomiting, changes in vision, loss of consciousness, seizures","Emergency medical attention, surgery (if needed), medications to control bleeding and manage symptoms",D283,False,True
Postpartum Depression,"Persistent feelings of sadness, emptiness, or hopelessness, frequent crying, irritability, loss of interest or pleasure in activities, difficulty bonding with the baby, changes in appetite or sleep patterns, overwhelming fatigue, feelings of guilt or worthlessness, trouble concentrating or making decisions, thoughts of self-harm or harming the baby","Psychotherapy (such as cognitive-behavioral therapy or interpersonal therapy), support groups or peer counseling, antidepressant medication (if recommended by a healthcare professional), hormone therapy (in some cases), lifestyle changes (such as exercise, healthy diet, sleep hygiene), involving a partner or family in the care of the baby, social support and understanding from family and friends, regular follow-up and monitoring by healthcare professionals",D284,True,True
Injury to the Leg,"Pain, swelling, bruising, difficulty walking","R.I.C.E. (Rest, Ice, Compression, Elevation), pain medications, physical therapy",D285,False,True
Stroke,"Sudden numbness or weakness of the face, arm, or leg (typically on one side of the body), confusion, trouble speaking or understanding, severe headache","Emergency medical attention, medication (clot-busting drugs, anticoagulants), supportive care, rehabilitation (physical therapy, speech therapy), lifestyle modifications (diet, exercise, smoking cessation), addressing underlying risk factors",D286,False,True
Huntington Disease,"Motor, cognitive, and psychiatric symptoms","Supportive care, medications (to manage symptoms), therapy",D287,False,True
Mononucleosis,"Fatigue, sore throat, swollen lymph nodes","Rest, pain relievers, fluids, symptom management",D288,True,False
Hallucinogen Use Disorder,"Altered perception of reality, visual or auditory hallucinations, changes in sensory experiences, introspective thoughts, feelings of connection or disconnection, anxiety or paranoia (in some individuals), flashbacks (in some individuals)","Counseling or therapy (such as cognitive-behavioral therapy, motivational interviewing), support groups, addressing underlying psychological or social factors, harm reduction strategies, ongoing monitoring and support",D289,False,True
Ependymoma,"Headaches, nausea, seizures, changes in coordination or balance","Surgery, radiation therapy, chemotherapy, targeted therapy, rehabilitation",D290,False,True
Lymphoma,"Swollen lymph nodes, unexplained weight loss, fatigue","Chemotherapy, radiation therapy, immunotherapy, targeted therapy",D291,True,True
Urinary Tract Infection (UTI),"Painful urination, frequent urination, pelvic pain, cloudy urine","Antibiotics safe for pregnancy, increased fluid intake, maintaining good hygiene, urine culture and sensitivity testing to guide antibiotic selection",D256,False,False
Transient ischemic attack,Sudden onset of neurological symptoms that resolve within 24 hours,"Antiplatelet medications, Carotid endarterectomy,  Anticoagulant medications, Lifestyle modifications",D292,False,True
Normal-Tension Glaucoma,"Gradual loss of vision, visual field defects","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)",D293,False,True
Thyroid Disease,"Fatigue, weight changes, mood swings, dry skin","Medications (thyroid hormone replacement, antithyroid drugs), radioactive iodine therapy, surgery (in some cases)",D294,True,True
Bladder Cancer,"Blood in urine, frequent urination, pelvic pain","Surgery, chemotherapy, radiation therapy",D295,False,True
Fracture of the Arm,"Pain, swelling, deformity, limited mobility or difficulty moving the arm, bruising","Immobilization (cast or splint), pain management, physical therapy, surgery (in complex fractures)",D296,False,True
Mucocele,"Painless swelling, usually on the lower lip or floor of the mouth","Observation, surgical removal if necessary",D085,False,False
Kidney Failure,"Decreased urine output, fluid retention, fatigue, shortness of breath, nausea, confusion, chest pain, seizures","Treatment depends on the underlying cause and may include medications to manage blood pressure and symptoms, dietary modifications (restricting salt, protein, and potassium), dialysis (hemodialysis or peritoneal dialysis) or kidney transplantation (in end-stage kidney failure), treatment of complications, management of fluid and electrolyte balance, lifestyle modifications (exercise, quitting smoking, healthy diet)",D297,True,True
Chagas Disease,"Fever, fatigue, body aches, heart and digestive problems","Antiparasitic medications, medications to manage symptoms, supportive care",D298,True,True
Leukemia,"Fatigue, pale skin, frequent infections, easy bleeding or bruising","Chemotherapy, radiation therapy, stem cell transplant, targeted therapy, supportive care",D299,True,True
Vesicoureteral Reflux,"Frequent urinary tract infections, urinary urgency or frequency, bedwetting (in children), high blood pressure (in severe cases)","Antibiotics, bladder training exercises, surgical correction (in some cases)",D300,False,False
Endometriosis,"Pelvic pain (during menstruation, intercourse, or bowel movements), heavy menstrual bleeding, infertility","Pain management (such as nonsteroidal anti-inflammatory drugs [NSAIDs], hormonal contraceptives, or progestins), hormone therapy (such as gonadotropin-releasing hormone [GnRH] agonists or oral contraceptives), surgical interventions (such as laparoscopic excision or hysterectomy), fertility treatments (if pregnancy is desired), lifestyle modifications (such as regular exercise, stress management), complementary therapies (such as acupuncture or dietary changes)",D162,False,True
Psoriasis,"Red, scaly patches on the skin, itching","Topical treatments (corticosteroids, salicylic acid), systemic medications (retinoids, immunosuppressants), phototherapy",D301,False,True
Infection of Open Wound,"Redness, swelling, warmth, pain or tenderness at the wound site, pus or drainage from the wound, fever, malaise","Cleaning and irrigation of the wound, antibiotic therapy (oral or intravenous), wound dressings, wound debridement (if necessary), tetanus prophylaxis",D302,True,True
Anemia,"Fatigue, weakness, pale skin, shortness of breath","Iron supplementation, dietary changes (iron-rich foods), managing underlying causes (such as treating iron deficiency or vitamin B12 deficiency), prenatal vitamins",D303,True,False
Spondylosis,"Neck or back pain, stiffness, limited range of motion, numbness or weakness in the extremities","Medications (pain relievers, muscle relaxants), physical therapy, exercise, posture improvement, heat or cold therapy, spinal injections, surgery (in severe cases or if conservative treatments fail)",D304,False,True
Acute Otitis Media,"Ear pain, fever, fluid drainage from the ear, hearing loss or muffled hearing in the affected ear","Antibiotics, pain relievers (e.g., acetaminophen, ibuprofen), warm compresses, ear drops, tympanostomy tubes (in some cases)",D305,True,False
Fracture,"Pain, Swelling, Bruising, Deformity, Difficulty moving, Loss of function","Immobilization, Surgery, Rehabilitation",D306,False,False
Round Ligament Pain,Sharp or aching pain in the lower abdomen or groin,"Resting, changing positions slowly, warm compresses, gentle stretching, avoiding sudden movements",D307,False,False
Autism,"Challenges with social interaction, communication difficulties, restricted interests or repetitive behaviors","Behavioral therapy, educational interventions, speech and language therapy, medications for associated symptoms",D308,False,True
Pleomorphic adenoma,"Painless lump or swelling, Facial changes",Surgical excision,D309,False,False
Otosclerosis,"Hearing loss (gradual and progressive), tinnitus (ringing in the ears), dizziness or balance problems","Hearing aids, surgical interventions (such as stapedectomy or stapedotomy to replace the affected bone in the middle ear), sodium fluoride therapy (to slow down the progression of the condition), communication strategies and support (such as lip-reading or sign language), regular hearing assessments",D310,False,True
Bulimia Nervosa,Recurrent episodes of binge eating followed by purging behaviors,"Psychotherapy (such as cognitive-behavioral therapy or dialectical behavior therapy), nutritional counseling, medications (in some cases), support groups",D311,False,True
Poisoning due to Analgesics,"Nausea, vomiting, abdominal pain, liver or kidney damage, dizziness, confusion, respiratory distress","Immediate medical attention, activated charcoal administration, supportive care, antidote (if available), treatment for complications",D312,False,False
Pseudohypoparathyroidism,"Hypocalcemia (low calcium levels), tetany (muscle spasms), short stature, rounded face","Calcium and vitamin D supplementation, management of complications, hormone replacement therapy (if necessary)",D313,False,True
Dermatitis due to Sun Exposure,"Redness, itching, rash, blistering","Topical corticosteroids, moisturizers, avoiding sun exposure",D221,False,False
Anemia due to Malignancy,"Fatigue, weakness, shortness of breath, pale skin","Treating underlying malignancy, blood transfusions, medications (erythropoiesis-stimulating agents, iron supplements)",D314,True,True
Hyperhidrosis,"Excessive sweating (beyond what is necessary for temperature regulation), typically in specific areas (such as palms, soles, underarms), may interfere with daily activities","Antiperspirants, medications (anticholinergics, beta blockers), iontophoresis, Botox injections, surgical interventions (sympathectomy, sweat gland removal)",D315,False,True
Otitis Media,"Ear pain, fever, fluid drainage from the ear","Antibiotics (if bacterial infection), pain relievers, observation (in some cases)",D316,True,False
Benign Kidney Cyst,"Abdominal or flank pain, blood in urine, frequent urination","Observation, medication (if needed), surgery (in rare cases)",D317,False,True
Pain after an Operation,"Surgical site pain, discomfort, swelling","Pain medications, ice packs, rest, wound care",D318,False,True
Chronic Knee Pain,"Persistent knee pain, stiffness, swelling, limited range of motion","Pain management, physical therapy, lifestyle modifications, knee braces or supports",D319,False,True
Volvulus,"Abdominal pain, nausea, vomiting, bloating, constipation, bloody stool",Emergency surgery to untwist the affected organ and restore blood flow,D320,False,False
Scurvy,"Fatigue, swollen and bleeding gums, joint pain","Vitamin C supplementation, dietary changes, oral hygiene maintenance",D321,True,False
Urinary Stones (Kidney Stones),"Severe abdominal or back pain, blood in urine, frequent urination, pain during urination","Pain management, increased fluid intake, medications to help pass the stones, procedures or surgery",D322,False,True
Injury to the Finger,"Pain, swelling, bruising, deformity, restricted range of motion, difficulty gripping or using the finger","RICE method (Rest, Ice, Compression, Elevation), splinting, pain medication, physical therapy, surgery (in severe cases)",D323,False,True
Retinal Detachment,"Floaters (spots or cobweb-like shapes in vision), flashes of light, curtain-like shadow over vision, sudden vision loss","Surgical intervention (pneumatic retinopexy, scleral buckle, vitrectomy), laser therapy, cryotherapy, gas or silicone oil injection, positioning, regular eye exams",D324,False,True
Chronic Rheumatic Fever,"Joint pain, fever, rash, heart inflammation","Antibiotics (to treat streptococcal infections), anti-inflammatory medications, medications for heart complications",D325,True,True
Acute Bronchospasm,"Wheezing, shortness of breath, chest tightness","Bronchodilators (inhaled medications), corticosteroids, supplemental oxygen (if needed)",D326,False,True
Vulvodynia,"Persistent pain or discomfort in the vulva, burning, stinging, rawness, itching","Topical medications (such as lidocaine or estrogen creams), nerve blocks, physical therapy (including pelvic floor muscle relaxation exercises), cognitive-behavioral therapy (CBT), biofeedback, medications (such as tricyclic antidepressants or anticonvulsants), vulvar care and hygiene practices, stress management techniques, alternative therapies (such as acupuncture or herbal remedies)",D327,False,True
Other Specified Feeding or Eating Disorder (OSFED),Symptoms that do not meet the full criteria for a specific eating disorder,"Treatment is based on the specific symptoms and can include a combination of psychotherapy, nutritional counseling, medical monitoring, and medications as necessary",D328,False,True
Anemia due to Chronic Kidney Disease,"Fatigue, weakness, pale skin","Erythropoiesis-stimulating agents (ESA), iron supplementation, blood transfusions (in severe cases)",D329,True,False
Pemphigus,Painful blisters on the skin and mucous membranes,"Corticosteroids, immunosuppressants, wound care",D330,False,False
Syphilis,"Primary stage: painless sores (chancre) at the site of infection, secondary stage: skin rash, fever, swollen lymph nodes, sore throat, latent stage: no symptoms, tertiary stage: severe complications affecting the heart, brain, and other organs","Antibiotics (usually penicillin), treatment of complications, regular follow-up and testing",D331,True,False
Omphalitis,"Redness, swelling, discharge, foul odor around the umbilical area","Antibiotics, wound care, surgical intervention (in severe cases)",D332,False,False
Idiopathic Nonmenstrual Bleeding,"Abnormal vaginal bleeding outside of the menstrual period, unpredictable bleeding episodes, bleeding after sexual intercourse, bleeding after menopause, spotting or light bleeding between periods, prolonged or heavy bleeding","Evaluation to rule out underlying causes (such as hormonal imbalances, polyps, infections, or uterine abnormalities), hormonal therapy (such as birth control pills, hormone replacement therapy), non-hormonal medications (such as tranexamic acid), dilation and curettage (if necessary to remove excessive tissue or investigate the cause), endometrial ablation (in some cases), hysteroscopy (to examine the uterus), surgery (in rare cases), counseling or support for emotional well-being",D333,False,True
Myofascial Pain Syndrome,"Localized muscle pain, trigger points","Physical therapy, trigger point injections, dry needling, medications (such as pain relievers, muscle relaxants), relaxation techniques, stress management, massage therapy, myofascial release, heat or cold therapy",D334,False,True
Vocal cord polyp,"Hoarseness, Vocal Changes, Vocal Fatigue","Voice Rest, Speech Therapy, Surgical Removal",D335,True,True
Rotator Cuff Injury,"Shoulder pain, weakness or loss of strength, limited range of motion, shoulder stiffness","Non-surgical treatment options: Rest, ice or heat therapy, pain medications, physical therapy exercises, Arthroscopic surgery",D336,False,True
Fibromyalgia,"Widespread musculoskeletal pain, fatigue, sleep disturbances, cognitive difficulties (fibro fog), mood changes","Multidisciplinary approach: Medications for pain management (such as analgesics, antidepressants, and anticonvulsants), physical therapy, occupational therapy, cognitive-behavioral therapy, relaxation techniques, stress management, exercise programs",D337,True,True
Hypercalcemia,"Fatigue, nausea, excessive thirst, kidney stones","Treating underlying cause, hydration, medications",D338,True,True
Secondary Glaucoma,Varies depending on the underlying cause,"Treatment of the underlying condition (e.g., medication adjustments, surgery, trauma management, tumor removal, inflammation control)",D339,False,True
Drug Reaction,"Rash, itching, swelling, fever, respiratory symptoms","Discontinuation of the offending drug, supportive care, antihistamines, corticosteroids (in severe cases)",D340,True,False
Acute Sinusitis,"Facial pain or pressure, nasal congestion, thick nasal discharge, post-nasal drip, cough, headache, fatigue, fever (in some cases)","Home remedies (such as nasal saline irrigation, steam inhalation), over-the-counter pain relievers (such as acetaminophen or ibuprofen), nasal decongestants (for short-term use), nasal corticosteroids (to reduce inflammation), plenty of fluids and rest, warm compresses, avoidance of irritants (such as smoke or allergens), prescription antibiotics (if bacterial infection is suspected or confirmed), management of underlying causes (such as allergies or nasal polyps), symptom relief medications (such as cough suppressants or antihistamines)",D341,True,True
Polycystic Ovarian Syndrome,"Irregular periods, excessive hair growth, acne, weight gain, ovarian cysts","Lifestyle changes (diet, exercise, weight management), hormonal contraceptives, fertility treatments (if needed)",D342,False,True
Complex Regional Pain Syndrome (CRPS),"Severe and persistent pain, changes in skin color or temperature, swelling, stiffness","Medications (such as pain relievers, corticosteroids, anticonvulsants), physical therapy, sympathetic nerve blocks, spinal cord stimulation, occupational therapy, mirror therapy, psychotherapy, graded motor imagery, stress management techniques",D100,False,True
Optic Neuritis,"Vision loss or blurry vision, eye pain with eye movement, color vision impairment, flashing lights or floaters","High-dose intravenous corticosteroids, treatment of underlying cause, symptom management, visual rehabilitation",D343,False,False
Adrenal Cancer,"Abdominal or back pain, unexplained weight loss, hormonal imbalances","Surgery (adrenalectomy), chemotherapy, radiation therapy, targeted therapy, hormone replacement therapy",D344,False,True
Intracranial Abscess,"Headache, fever, neurological deficits","Antibiotics, surgical drainage or removal of the abscess, supportive care",D345,True,False
Adenoid cystic carcinoma,"Lump, swelling, Facial numbness, tingling","Surgery, Radiation therapy",D346,False,True
Fracture of the Patella,"Severe pain, swelling, bruising, difficulty straightening or bending the knee, deformity","Immobilization (splint, cast, or brace), pain management, physical therapy, exercises to restore mobility and strength, potential surgical intervention (in severe cases or if displacement is present)",D347,False,True
Restless Leg Syndrome,"Uncomfortable sensation in the legs, usually in the evening or at night, urge to move legs for relief","Lifestyle changes (such as regular exercise, avoiding triggers like caffeine), good sleep hygiene (maintaining a regular sleep schedule), leg massages or stretching exercises, hot or cold packs, medication therapy (such as dopamine agonists, anticonvulsants, opioids), iron supplementation (if iron deficiency is present)",D348,False,True
Cold Sore,"Small, painful blisters on the lips or around the mouth","Antiviral medications (topical or oral), pain relievers, antiviral creams, self-care measures",D349,False,True
Chronic Kidney Disease,"Fatigue, swelling of the legs or ankles, decreased appetite, difficulty concentrating, increased urination or urine changes, blood in urine, high blood pressure","Management of underlying conditions (such as diabetes or high blood pressure), lifestyle modifications (such as healthy diet, regular exercise, smoking cessation), medications (such as ACE inhibitors or diuretics), dialysis (in advanced stages), kidney transplant (in end-stage kidney disease), management of associated complications (such as anemia or bone disease), regular monitoring and follow-up with a nephrologist, education and support for self-care",D350,True,True
Goiter,"Enlarged thyroid gland in the neck, swelling or visible protrusion, difficulty swallowing or breathing","Treatment depends on the underlying cause (medication, radioactive iodine therapy, surgery)",D351,False,True
Type 1 Diabetes,"Frequent urination, Increased thirst, Weight loss","Insulin therapy, Blood sugar monitoring, Healthy eating, Regular exercise",D352,False,True
Dislocation of the Elbow,"Severe pain, visible deformity, swelling, inability to move the elbow, numbness or tingling in the hand/arm","Closed reduction (realigning the bones without surgery), immobilization (splint or cast), physical therapy, pain management, surgical intervention (in complex or recurrent cases)",D353,False,True
Rabies,"Flu-like symptoms (fever, headache, fatigue), anxiety, confusion, hallucinations, difficulty swallowing","Immediate medical attention (post-exposure prophylaxis), wound care, administration of rabies vaccine and immunoglobulin, supportive care, monitoring and management of symptoms",D354,True,True
Contact Dermatitis,"Itchy, red rash caused by contact with irritants or allergens","Avoiding the trigger, corticosteroid creams or ointments, antihistamines",D355,False,False
Hemophilia,"Excessive bleeding and bruising, prolonged bleeding from wounds or after dental work or surgery, spontaneous bleeding in joints or muscles","Replacement therapy with clotting factor concentrates, medications to control bleeding, physical therapy, joint protection measures, genetic counseling and testing for family members",D356,False,True
Open Wound from Surgical Incision,"Redness, swelling, discharge from the wound","Wound care (cleaning, dressing changes), antibiotics (if infection is present), surgical interventions",D357,False,False
Chronic Migraine,"Recurrent, disabling migraines","Medications (such as preventive medications, pain relievers, triptans), lifestyle modifications (such as identifying triggers, stress management, regular sleep patterns), relaxation techniques, biofeedback, cognitive-behavioral therapy, nerve blocks, Botox injections, neuromodulation devices, acupuncture",D358,False,True
Hyperkalemia,"Muscle weakness or fatigue, irregular heartbeat or palpitations, numbness or tingling, nausea or vomiting","Treatment of underlying cause, medications to reduce potassium levels, dietary modifications, dialysis (in severe cases)",D359,True,True
Fibromyalgia,"Widespread musculoskeletal pain, fatigue, sleep disturbances","Medications (such as pain relievers, antidepressants, anticonvulsants), physical therapy, cognitive-behavioral therapy, stress management techniques, exercise, relaxation techniques, good sleep hygiene",D337,True,True
Bipolar Disorder,"Mood swings, manic episodes, depressive episodes","Medications (mood stabilizers, antipsychotics), therapy",D360,False,True
Sedatives Poisoning,"Drowsiness, confusion, slowed breathing","Immediate medical attention, supportive care, antidote administration",D361,False,False
Migraine,"headache, nausea, sensitivity to light, visual disturbances","pain relief medication, rest, cold compress",D203,False,True
Plantar Fasciitis,"Heel pain, tenderness, difficulty walking","Rest, stretching exercises, orthotic devices, physiotherapy",D362,False,True
Priapism,"Persistent, painful erection","Medical intervention (aspiration, medication, surgery)",D363,False,True
Gestational Hypertension,High blood pressure without proteinuria (preeclampsia),"Monitoring blood pressure, lifestyle modifications (such as salt restriction, regular exercise), medication (such as antihypertensive drugs) if necessary, close monitoring by healthcare provider",D364,False,True
Pyelonephritis,"Fever, chills, back or flank pain, frequent urination","Antibiotics (such as fluoroquinolones, cephalosporins, or trimethoprim-sulfamethoxazole) to target the specific bacteria causing the infection, adequate hydration, pain management (such as over-the-counter pain relievers or prescription medications), hospitalization (for severe cases or complications), urine culture to guide antibiotic therapy",D365,True,True
Drug Abuse (Cocaine),"Euphoria, increased energy, dilated pupils, rapid heart rate, high blood pressure, risk of heart attack or stroke","Medical detoxification, counseling, behavioral therapies, support groups",D366,False,False
Gout,"Intense joint pain, swelling, redness","Medications (nonsteroidal anti-inflammatory drugs, colchicine), lifestyle changes",D367,False,True
Narcolepsy,"Excessive daytime sleepiness, sudden loss of muscle tone (cataplexy)","Stimulant medications, antidepressants, lifestyle modifications, scheduled naps",D368,False,True
Submandibular stones,"Swelling, pain, dry mouth, bad taste","Hydration,Saliva stimulation, Stone removal",D369,False,False
Dental Caries,"Toothache, tooth sensitivity, visible pits or holes in the teeth, dark spots on the teeth, bad breath","Dental fillings, crowns, root canal treatment, tooth extraction (in severe cases), oral hygiene practices (brushing and flossing), regular dental check-ups, fluoride treatments, dietary modifications (reducing sugary and acidic foods and drinks), dental sealants (for prevention), education on proper oral care",D370,False,False
Vitamin B12 Deficiency,"Fatigue, weakness, pale skin, shortness of breath, tingling or numbness in the hands and feet, balance problems, sore tongue","Vitamin B12 supplementation (such as oral supplements or injections), dietary changes to include B12-rich foods (such as meat, fish, eggs, and dairy products), identification and management of underlying causes (such as pernicious anemia or malabsorption disorders), management of associated symptoms or complications (such as nerve pain or balance problems), regular monitoring of B12 levels and treatment adjustment",D371,True,True
Testicular Cancer,"Lump or swelling in the testicles, pain or discomfort, changes in testicular size or shape","Surgery (orchiectomy), chemotherapy, radiation therapy, surveillance (for some cases)",D372,False,True
Peyronie Disease,"Curvature of the penis, pain during erections","Medications, traction therapy, surgery",D373,False,True
Hepatitis due to a Toxin,"Fatigue, jaundice, abdominal pain, nausea, vomiting","Supportive care, removal or avoidance of the toxic substance, management of symptoms",D374,True,False
Foreign Body in the Throat,"Sensation of a foreign object stuck in the throat, difficulty swallowing or speaking","Immediate medical attention, removal of the foreign body, evaluation for any complications",D375,False,False
Stenosis of the Tear Duct,"Excessive tearing, eye discharge, recurrent eye infections","Tear duct probing, dilation, surgical correction",D376,False,False
Lateral Epicondylitis (Tennis Elbow),"Pain or tenderness on the outer side of the elbow, weak grip strength, difficulty with forearm movements","Rest, ice or cold therapy, compression, elbow brace or strap, pain relievers, physical therapy exercises, corticosteroid injections (in severe cases), ergonomic modifications",D377,False,True
Attention Deficit Hyperactivity Disorder (ADHD),"Inattention, hyperactivity, impulsivity","Behavioral therapy, parent training programs, medication (such as stimulants or non-stimulants), individualized education plans (IEPs) for academic support, accommodations and modifications in school, psychoeducation, counseling",D378,False,True
Tuberous Sclerosis,"Benign tumors in various organs, seizures, developmental delays, skin abnormalities","Medications (anti-seizure, behavioral, etc.), surgery (for tumor removal), therapy (physical, occupational, speech), educational interventions, support services, genetic counseling, monitoring of organ involvement",D379,False,True
Pulmonic Valve Disease,"Fatigue, shortness of breath, chest pain or discomfort, heart palpitations, fainting or lightheadedness, swollen legs or ankles","Medications (such as diuretics, beta-blockers, or calcium channel blockers), surgical interventions (such as balloon valvuloplasty or valve replacement), lifestyle modifications (such as regular exercise, heart-healthy diet, smoking cessation), regular follow-up with a cardiologist",D380,True,True
Pelvic Organ Prolapse,"Pelvic pressure or heaviness, urinary incontinence, bowel movement difficulties, discomfort or pain during intercourse","Pelvic floor exercises, pessary use, hormone therapy, surgical repair (in severe cases)",D381,False,True
"Sedative, Hypnotic, or Anxiolytic Use Disorder","Sedation, relaxation, reduced anxiety, drowsiness, poor coordination, memory impairment, withdrawal symptoms (such as rebound anxiety, insomnia, tremors) when attempting to stop or reduce use, continued use despite negative consequences (such as relationship problems, health risks)","Gradual tapering off sedatives, hypnotics, or anxiolytics under medical supervision, counseling or therapy (such as cognitive-behavioral therapy), support groups, addressing underlying psychological or social factors, lifestyle changes, addressing co-occurring mental health conditions, harm reduction strategies, ongoing monitoring and support",D382,False,True
Atrial Fibrillation,"Irregular or rapid heartbeat, palpitations, shortness of breath, chest pain or discomfort, dizziness or lightheadedness, fatigue","Medications (antiarrhythmics, anticoagulants), electrical cardioversion, catheter ablation, lifestyle changes",D383,True,True
Asthma,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise","Long-term control medications (such as inhaled corticosteroids, long-acting beta-agonists), quick-relief medications (such as short-acting beta-agonists), avoidance of triggers (such as allergens, smoke), regular monitoring of symptoms and lung function, development of an asthma action plan, proper inhaler technique, regular follow-up with a healthcare provider, emergency medications (such as oral corticosteroids) as needed",D384,True,True
